"sitecode","width_src","usgs_gagename","width_m"
"nwis_08188060","NWIS field measurements","nwis_08188060",17.86128
"nwis_08211200","NWIS field measurements","nwis_08211200",18.2118
"nwis_08317400","NWIS field measurements","nwis_08317400",59.7408
"nwis_08374550","NWIS field measurements","nwis_08374550",18.8976
"nwis_08375300","NWIS field measurements","nwis_08375300",56.0832
"nwis_08412500","NWIS field measurements","nwis_08412500",12.192
"nwis_08437710","NWIS field measurements","nwis_08437710",4.93776
"nwis_08446500","NWIS field measurements","nwis_08446500",9.15924
"nwis_08447000","NWIS field measurements","nwis_08447000",8.382
"nwis_08447300","NWIS field measurements","nwis_08447300",21.6408
"nwis_09041400","NWIS field measurements","nwis_09041400",8.5344
"nwis_09326500","NWIS field measurements","nwis_09326500",8.0772
"nwis_09327000","NWIS field measurements","nwis_09327000",5.36448
"nwis_09406000","NWIS field measurements","nwis_09406000",12.954
"nwis_10129900","NWIS field measurements","nwis_10129900",2.10312
"nwis_10133650","NWIS field measurements","nwis_10133650",6.00456
"nwis_10133800","NWIS field measurements","nwis_10133800",5.24256
"nwis_10133980","NWIS field measurements","nwis_10133980",7.62
"nwis_11044000","NWIS field measurements","nwis_11044000",3.9624
"nwis_11126000","NWIS field measurements","nwis_11126000",3.2004
"nwis_11128500","NWIS field measurements","nwis_11128500",5.05968
"nwis_11273400","NWIS field measurements","nwis_11273400",34.5948
"nwis_11285500","NWIS field measurements","nwis_11285500",27.18816
"nwis_11447650","NWIS field measurements","nwis_11447650",184.0992
"nwis_11447830","NWIS field measurements","nwis_11447830",58.5216
"nwis_11447850","NWIS field measurements","nwis_11447850",71.3232
"nwis_11447890","NWIS field measurements","nwis_11447890",108.204
"nwis_11455165","NWIS field measurements","nwis_11455165",67.2084
"nwis_11462500","NWIS field measurements","nwis_11462500",26.1366
"nwis_11463000","NWIS field measurements","nwis_11463000",15.5448
"nwis_11463682","NWIS field measurements","nwis_11463682",22.05228
"nwis_11463980","NWIS field measurements","nwis_11463980",31.0896
"nwis_11465240","NWIS field measurements","nwis_11465240",12.98448
"nwis_11467000","NWIS field measurements","nwis_11467000",17.526
"nwis_12100490","NWIS field measurements","nwis_12100490",46.3296
"nwis_12101100","NWIS field measurements","nwis_12101100",17.9832
"nwis_12102075","NWIS field measurements","nwis_12102075",5.1816
"nwis_13013650","NWIS field measurements","nwis_13013650",75.7428
"nwis_13173600","NWIS field measurements","nwis_13173600",178.4604
"nwis_13206400","NWIS field measurements","nwis_13206400",2.5908
"nwis_13207500","NWIS field measurements","nwis_13207500",1.49352
"nwis_13213000","NWIS field measurements","nwis_13213000",40.5384
"nwis_13213100","NWIS field measurements","nwis_13213100",167.1828
"nwis_14151000","NWIS field measurements","nwis_14151000",28.48356
"nwis_14162500","NWIS field measurements","nwis_14162500",85.9536
"nwis_14182500","NWIS field measurements","nwis_14182500",31.3944
"nwis_14202650","NWIS field measurements","nwis_14202650",10.40892
"nwis_14206950","NWIS field measurements","nwis_14206950",6.2484
"nwis_14210000","NWIS field measurements","nwis_14210000",55.0164
"nwis_14211010","NWIS field measurements","nwis_14211010",64.9224
"nwis_14211720","NWIS field measurements","nwis_14211720",240.6396
"nwis_14301500","NWIS field measurements","nwis_14301500",47.244
"nwis_14302480","NWIS field measurements","nwis_14302480",34.1376
"nwis_385446094430700","NWIS field measurements","nwis_385446094430700",5.9436
"nwis_385520094420000","NWIS field measurements","nwis_385520094420000",10.668
"nwis_385608094380300","NWIS field measurements","nwis_385608094380300",14.29512
"nwis_411955088280601","Regional geomorphic scaling coeff","nwis_411955088280601",10.1597442100535
"AZ_LV","NWIS field measurements","nwis_09511300",19.9644
"AZ_MV","NWIS field measurements","nwis_09506000",28.0416
"AZ_OC","NWIS field measurements","nwis_09504420",19.76628
"AZ_SC","NWIS field measurements","nwis_09510200",10.3632
"AZ_WB","NWIS field measurements","nwis_09505200",9.144
"CO_Alpine2","Regional geomorphic scaling coeff",NA,3.4239831289665
"CO_Cameo2","Regional geomorphic scaling coeff",NA,63.2027395759063
"CO_Forest1","Regional geomorphic scaling coeff",NA,1.00978286782474
"CO_Forest2","Regional geomorphic scaling coeff",NA,4.63578604381567
"CO_Forest4","Regional geomorphic scaling coeff",NA,1.38372432576523
"CO_Meadow1","Regional geomorphic scaling coeff",NA,4.63578604381567
"CO_Wfresdown5","Regional geomorphic scaling coeff",NA,1.61991949700958
"CO_Wfresup2","Regional geomorphic scaling coeff",NA,0.799013405097645
"CO_WindyGap2","Regional geomorphic scaling coeff",NA,1.25426705539157
"CT_BUNN","NWIS field measurements","nwis_01188000",2.9718
"CT_FARM","NWIS field measurements","nwis_01189995",62.1792
"CT_HUBB","NWIS field measurements","nwis_01187300",8.5344
"CT_STIL","NWIS field measurements","nwis_01186500",16.90116
"CT_Unio","NWIS field measurements","nwis_01188090",45.72
"FL_Branford","NWIS field measurements","nwis_02320500",89.916
"FL_CowCreek","Regional geomorphic scaling coeff",NA,12.2135576217023
"FL_Drain","Regional geomorphic scaling coeff",NA,11.7317676093672
"FL_ICHE2700","NWIS field measurements","nwis_02322700",14.26464
"FL_NR1000","NWIS field measurements","nwis_02321000",13.45692
"FL_Olustee","Regional geomorphic scaling coeff",NA,9.46004799843606
"FL_SF2500","NWIS field measurements","nwis_02322500",48.768
"FL_SF2800","NWIS field measurements","nwis_02322800",59.1312
"FL_SF700","NWIS field measurements","nwis_02320700",9.32688
"FL_WaterOak","Regional geomorphic scaling coeff",NA,2.0654912813773
"FL_WhiteSprings","NWIS field measurements","nwis_02315500",36.576
"FL_WS1500","NWIS field measurements","nwis_02321500",36.576
"MD_BARN","Regional geomorphic scaling coeff",NA,2.66341526202075
"MD_DRKR","NWIS field measurements","nwis_01589330",6.7056
"MD_GFCP","Regional geomorphic scaling coeff",NA,18.0185268720262
"MD_GFGB","Regional geomorphic scaling coeff",NA,4.27073599613894
"MD_GFVN","Regional geomorphic scaling coeff",NA,13.0003951271091
"MD_POBR","Regional geomorphic scaling coeff",NA,2.66341526202075
"MI_PILG1","Regional geomorphic scaling coeff",NA,8.74067741630705
"MI_PILG14","Regional geomorphic scaling coeff",NA,6.44747146311566
"MI_PILG6","Regional geomorphic scaling coeff",NA,8.74067741630705
"MI_PILGNF15","Regional geomorphic scaling coeff",NA,5.02037255920224
"MI_PILGSF16","Regional geomorphic scaling coeff",NA,1.93844628745765
"NC_Eno","NWIS field measurements","nwis_02085000",11.2776
"NC_MC751","Regional geomorphic scaling coeff",NA,2.63337010890945
"NC_Mud","StreamPULSE estimates",NA,2.82
"NC_NHC","StreamPULSE estimates",NA,9.3
"NC_PWC","Regional geomorphic scaling coeff",NA,8.62233778694316
"NC_Stony","StreamPULSE estimates",NA,3.325
"NC_UEno","StreamPULSE estimates",NA,7.1
"NC_UNHC","StreamPULSE estimates",NA,10.9
"NH_BDC","StreamPULSE estimates",NA,0.9
"NH_BEF","Regional geomorphic scaling coeff",NA,5.91014975627823
"NH_DCF","StreamPULSE estimates",NA,2.4635
"NH_GOF","NWIS field measurements","nwis_01092000",173.736
"NH_HBF","Regional geomorphic scaling coeff",NA,1.5377157842556
"NH_MCQ","Regional geomorphic scaling coeff",NA,146.552430025637
"NH_SBM","StreamPULSE estimates",NA,1.61
"NH_TPB","StreamPULSE estimates",NA,3.4905
"NH_WHB","StreamPULSE estimates",NA,0.975
"RI_CorkBrk","NWIS field measurements","nwis_01115280",2.07264
"VT_MOOS","NWIS field measurements","nwis_01134500",18.8976
"VT_Pass","NWIS field measurements","nwis_01135500",39.9288
"VT_POPE","NWIS field measurements","nwis_01135150",3.81
"VT_SLPR","NWIS field measurements","nwis_01135300",18.1356
"WI_BEC","NWIS field measurements","nwis_05406457",5.1816
"WI_BRW","NWIS field measurements","nwis_05406469",4.05384
